date,lat,lon,alt
16-3-12,8.137673,-10.764633,218
15-3-12,8.145460,-10.775829,227.39999389648401
14-3-12,8.309469,-10.697865,243.39999389648401
8-3-12,8.307536,-10.739518,345.70001220703102
9-3-12,8.299854,-10.705431,297.600006103515
9-3-12,8.293427,-10.700955,243.80000305175699
14-3-12,8.284541,-10.703782,284.79998779296801
14-3-12,8.261846,-10.691589,421.79998779296801
14-3-12,8.275662,-10.688060,202.600006103515
14-3-12,8.281795,-10.691980,242.19999694824199
14-3-12,8.274902,-10.703494,209
14-3-12,8.264958,-10.706691,408
14-3-12,8.263678,-10.707851,227
15-3-12,8.256066,-10.711312,222.80000305175699
15-3-12,8.258380,-10.712465,225
15-3-12,8.256438,-10.712600,207.80000305175699
15-3-12,8.256204,-10.712896,245.30000305175699
14-3-12,8.248101,-10.712639,212.39999389648401
14-3-12,8.248046,-10.712642,213.100006103515
14-3-12,8.251044,-10.712679,232.80000305175699
14-3-12,8.248357,-10.712794,218.600006103515
14-3-12,8.251181,-10.712985,231.89999389648401
14-3-12,8.251071,-10.713248,247.600006103515
15-3-12,8.241750,-10.714383,230.69999694824199
15-3-12,8.236330,-10.717171,239.100006103515
15-3-12,8.236920,-10.717375,247.19999694824199
15-3-12,8.235386,-10.717428,236.5
15-3-12,8.235754,-10.717654,254.30000305175699
15-3-12,8.236131,-10.717709,238.89999389648401
15-3-12,8.235890,-10.717832,229.100006103515
10-Feb-12,8.235410,-10.717939,234.100006103515
15-3-12,8.236618,-10.718358,326.600006103515
14-3-12,8.219984,-10.694481,231.39999389648401
9-Feb-12,8.220111,-10.695687,238.39999389648401
9-Feb-12,8.220564,-10.698740,237.30000305175699
14-3-12,8.238578,-10.694550,222
9-Feb-12,8.230163,-10.703740,200.100006103515
10-Feb-12,8.222619,-10.717514,224.89999389648401
15-3-12,8.232878,-10.718390,200.89999389648401
15-3-12,8.233641,-10.718414,226.69999694824199
10-Feb-12,8.233003,-10.718603,234.100006103515
9-3-12,8.420489,-10.651489,296
9-3-12,8.422580,-10.654207,291.70001220703102
9-3-12,8.423289,-10.656334,312.20001220703102
9-3-12,8.435819,-10.689054,310.600006103515
9-3-12,8.435957,-10.689424,331.5
9-3-12,8.435930,-10.689503,395.29998779296801
9-3-12,8.431321,-10.689901,371.79998779296801
9-3-12,8.413852,-10.718568,347.600006103515
9-3-12,8.413778,-10.718675,284
9-3-12,8.414849,-10.719298,339.39999389648398
9-3-12,8.415019,-10.719890,336.70001220703102
12-3-12,8.414986,-10.720993,343.29998779296801
9-3-12,8.415976,-10.724211,330.100006103515
9-3-12,8.394284,-10.703761,353.600006103515
9-3-12,8.397257,-10.704659,321.100006103515
9-3-12,8.396161,-10.705336,305
9-3-12,8.396154,-10.705816,317.20001220703102
9-3-12,8.397051,-10.705907,337.70001220703102
