Dest Lat,Dest Long,Source Lat,Source Lon
-37.0081,174.79201,-40.3206,175.617
-41.5453,147.214,-40.0917,147.993
-34.5592,-58.4156,-40.0754,-71.1373
-37.0081,174.79201,-39.9622,175.02499
-40.9989,145.731,-39.8775,143.87801
-37.6733,144.843,-39.8775,143.87801
-36.7727,-73.0631,-39.65,-73.0861
-33.393,-70.7858,-39.65,-73.0861
-43.4894,172.532,-39.4658,176.86999
-41.3272,174.80499,-39.4658,176.86999
-37.0081,174.79201,-39.4658,176.86999
-43.4894,172.532,-39.0086,174.179
-41.3272,174.80499,-39.0086,174.179
-37.0081,174.79201,-39.0086,174.179
-45.7853,-67.4655,-38.949,-68.1557
-34.5592,-58.4156,-38.949,-68.1557
-32.8317,-68.7929,-38.949,-68.1557
-36.7727,-73.0631,-38.7668,-72.6371
-33.393,-70.7858,-38.7668,-72.6371
-41.3272,174.80499,-38.7397,176.084
-37.0081,174.79201,-38.7397,176.084
-43.2105,-65.2703,-38.725,-62.1693
-37.9342,-57.5733,-38.725,-62.1693
-34.5592,-58.4156,-38.725,-62.1693
-41.3272,174.80499,-38.6633,177.978
-37.0081,174.79201,-38.6633,177.978
-37.7281,144.90199,-38.3181,141.47099
-43.4894,172.532,-38.1092,176.317
-41.3272,174.80499,-38.1092,176.317
-37.0081,174.79201,-38.1092,176.317
-33.9461,151.177,-38.0394,144.46899
-38.725,-62.1693,-37.9342,-57.5733
-34.5592,-58.4156,-37.9342,-57.5733
-37.0081,174.79201,-37.9206,176.914
-43.4894,172.532,-37.8667,175.332
-41.3272,174.80499,-37.8667,175.332
-40.3206,175.617,-37.8667,175.332
-37.0081,174.79201,-37.8667,175.332
-37.6733,144.843,-37.7456,140.785
-34.945,138.53101,-37.7456,140.785
-40.0917,147.993,-37.7281,144.90199
-45.0211,168.739,-37.6733,144.843
-43.4894,172.532,-37.6733,144.843
-42.8361,147.50999,-37.6733,144.843
-41.5453,147.214,-37.6733,144.843
-41.3272,174.80499,-37.6733,144.843
-41.1697,146.42999,-37.6733,144.843
-40.9989,145.731,-37.6733,144.843
-39.8775,143.87801,-37.6733,144.843
-37.7456,140.785,-37.6733,144.843
-37.0081,174.79201,-37.6733,144.843
-36.9086,149.901,-37.6733,144.843
-36.0678,146.95799,-37.6733,144.843
-35.3069,149.19501,-37.6733,144.843
-35.1653,147.466,-37.6733,144.843
-34.945,138.53101,-37.6733,144.843
-34.2292,142.086,-37.6733,144.843
-33.9461,151.177,-37.6733,144.843
-32.795,151.834,-37.6733,144.843
-31.9403,115.967,-37.6733,144.843
-30.7894,121.462,-37.6733,144.843
-30.3206,153.116,-37.6733,144.843
-28.8339,153.562,-37.6733,144.843
-28.1644,153.505,-37.6733,144.843
-27.3842,153.117,-37.6733,144.843
-26.6033,153.091,-37.6733,144.843
-23.8067,133.90199,-37.6733,144.843
-21.1717,149.17999,-37.6733,144.843
